"URI","rdf-schema#label","areaTotal","populationDensity","anthem_label","anthem","areaTotal","capital_label","capital","currency_label","currency","demonym","dissolutionDate","dissolutionYear","ethnicGroup_label","ethnicGroup","flag","foundingDate","foundingYear","governmentType_label","governmentType","language_label","language","leader_label","leader","leaderTitle","longName","motto","officialLanguage_label","officialLanguage","populationDensity","populationTotal","timeZone_label","timeZone"
"http://dbpedia.org/resource/%C4%90o%C3%A0i_line","Đoài line","NULL","NULL","NULL","NULL","NULL","Phong Châu","http://dbpedia.org/resource/Phong_Ch%C3%A2u","NULL","NULL","NULL","NULL","1332-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1431-01-01T00:00:00+02:00","Monarchy","http://dbpedia.org/resource/Monarchy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%D9%85%D9%84%D9%81:Flag_of_Sudan.svg","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF%E0%AE%BE","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%E1%8F%B0ogan_Australia","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/%E1%BA%A4t_line","Ất line","NULL","NULL","NULL","NULL","NULL","Phong Châu","http://dbpedia.org/resource/Phong_Ch%C3%A2u","NULL","NULL","NULL","NULL","1162-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1251-01-01T00:00:00+02:00","Monarchy","http://dbpedia.org/resource/Monarchy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/-_Indonesia","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/1990_Mindanao_crisis","1990 Mindanao crisis","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1990-10-06","1990-01-01T00:00:00+02:00","NULL","NULL","NULL","1990-10-04","1990-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/1995_in_film","1995 in film","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/2014_USA_Sevens","2014 USA Sevens","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/4th_of_August_Regime","4th of August Regime","NULL","NULL","Hymn to Liberty","http://dbpedia.org/resource/Hymn_to_Liberty","NULL","Athens","http://dbpedia.org/resource/Athens","NULL","NULL","NULL","NULL","1941-01-01T00:00:00+02:00","NULL","NULL","NULL","1936-08-04","1936-01-01T00:00:00+02:00","{Constitutional monarchy|Totalitarianism|Metaxism}","{http://dbpedia.org/resource/Constitutional_monarchy|http://dbpedia.org/resource/Totalitarianism|http://dbpedia.org/resource/Metaxism}","NULL","NULL","NULL","NULL","NULL","NULL","{Freedom or Death|Eleftheria i Thanatos|Ελευθερία ή θάνατος}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/ASEAN%E2%80%93India_Commemorative_Summit","ASEAN–India Commemorative Summit","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","South Asian","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","English language","http://dbpedia.org/resource/English_language","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/ASEAN_Summit","ASEAN Summit","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Indonesia","http://dbpedia.org/resource/Indonesia","Secretary General","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Aach,_Baden-W%C3%BCrttemberg__Herrschaft_Aach__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1805-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","0010-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Aalen__Reichsstadt_Aalen__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1803-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1360-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Aarberg__rafschaft_Aarberg__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1379-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1220-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abbasid_Caliphate","Abbasid Caliphate","NULL","NULL","NULL","NULL","NULL","{Baghdad|Kufa|762|796|836|892|Samarra|Ar-Raqqah}","{http://dbpedia.org/resource/Baghdad|http://dbpedia.org/resource/Kufa|http://dbpedia.org/resource/762|http://dbpedia.org/resource/796|http://dbpedia.org/resource/836|http://dbpedia.org/resource/892|http://dbpedia.org/resource/Samarra|http://dbpedia.org/resource/Ar-Raqqah}","{Dirham|Fals|Gold dinar}","{http://dbpedia.org/resource/Dirham|http://dbpedia.org/resource/Fals|http://dbpedia.org/resource/Gold_dinar}","NULL","NULL","1258-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","0750-01-01T00:00:00+02:00","Caliphate","http://dbpedia.org/resource/Caliphate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
